UF,ano,mes,temp_media_c,n_dias
ES,2025,4,23.778880105401843,660
ES,2025,5,21.6640778401122,682
ES,2025,6,20.52399154764761,626
ES,2025,7,19.492392310507352,620
ES,2025,8,20.10164642568745,620
ES,2025,9,20.908158981115502,600
ES,2025,10,21.864540413626354,612
ES,2025,11,23.129101261057784,600
ES,2025,12,25.118785103457355,310
GO,2025,1,24.36988570408051,1540
GO,2025,2,24.78002687112653,1384
GO,2025,3,25.31940595923406,1494
GO,2025,4,24.397597111064865,1434
GO,2025,5,22.536545480063406,1484
GO,2025,6,22.16050471930218,1434
GO,2025,7,21.55400582762684,1484
GO,2025,8,23.67866343280171,1387
GO,2025,9,26.542838104056205,1288
GO,2025,10,26.258543538593592,1367
GO,2025,11,25.648242782023477,1329
GO,2025,12,24.305183277950988,678
MA,2025,1,26.388639426967412,794
MA,2025,2,25.937179109308985,696
MA,2025,3,26.077507655119085,744
MA,2025,4,26.772161027149263,690
MA,2025,5,27.31780168755975,682
MA,2025,6,27.591070041984356,660
MA,2025,7,27.307823722132735,640
MA,2025,8,28.04407313657028,592
MA,2025,9,28.791233894918964,520
MA,2025,10,28.62080187920754,496
MA,2025,11,28.344483346950188,486
MA,2025,12,27.515075775068176,279
MG,2025,1,23.93461692723304,4184
MG,2025,2,24.648636184167525,3746
MG,2025,3,24.429734234365455,4084
MG,2025,4,23.001403289572213,3872
MG,2025,5,20.411002131079282,3912
MG,2025,6,19.26556579574887,3610
MG,2025,7,18.5734233342616,3686
MG,2025,8,20.042271396482693,3582
MG,2025,9,22.383370768157878,3650
MG,2025,10,23.07235955831674,3890
MG,2025,11,23.509320171167417,3688
MG,2025,12,24.23775780252048,1832
MS,2025,1,27.18702491458649,1524
MS,2025,2,26.701500322698898,1338
MS,2025,3,26.549977376156647,1478
MS,2025,4,23.711398578957276,1400
MS,2025,5,22.025358353332493,1508
MS,2025,6,19.806761052059965,1480
MS,2025,7,19.300729969762035,1550
MS,2025,8,21.021893245566634,1550
MS,2025,9,25.966195397012513,1500
MS,2025,10,25.06383300218383,1486
MS,2025,11,25.56528659564061,1440
MS,2025,12,26.14516823692458,769
MT,2025,1,25.645790570755207,1442
MT,2025,2,25.679492117862083,1298
MT,2025,3,26.11096795455243,1348
MT,2025,4,25.84238732005452,1324
MT,2025,5,24.95122407546093,1242
MT,2025,6,24.0344934051424,1198
MT,2025,7,23.274267957143383,1256
MT,2025,8,26.068122224016474,1214
MT,2025,9,28.281898276151487,1068
MT,2025,10,27.409863465150686,1140
MT,2025,11,26.91229481523506,1132
MT,2025,12,25.453716134221704,787
PA,2025,1,25.9508390475214,1444
PA,2025,2,25.775507284223362,1228
PA,2025,3,26.031570422450265,1280
PA,2025,4,26.475209742200324,1200
PA,2025,5,26.66859591071405,1254
PA,2025,6,26.57099374901585,1320
PA,2025,7,26.782264258507315,1364
PA,2025,8,27.636159065728663,1348
PA,2025,9,28.169469041294125,1224
